,open,high,low,close,volume,market_return,cum_market_return,ma_short,ma_long,feat_ma_ratio,feat_ma_trend,ma_trend_line,feat_trend_ratio,rsi,feat_rsi,ema_fast,ema_slow,macd_line,signal_line,macd_hist,feat_macd,bb_middle,bb_std_val,bb_upper,bb_lower,feat_bb_pos,k,d,j,feat_kdj,atr,feat_atr_ratio,next_ret,position,signal,cash,shares,total_value,strategy_return,cum_strategy_return
2021-07-07,139.91588320227137,141.23180423568894,139.0581116318865,140.91989135742188,104911600,0.0,0.0,,,,0.0,,,,,140.91989135742188,140.91989135742188,0.0,0.0,0.0,0.0,,,,,,,,,,,,-0.009199675246980954,0.0,0,100000.0,0.0,100000.0,0.0,0.0
2021-07-08,138.0053823208354,140.42276298269945,137.11835448019005,139.62347412109375,105575500,-0.009199675246980954,-0.009199675246980954,,,,0.0,,,,,140.72044255183292,140.8238604510272,-0.10341789919428379,-0.02068357983885676,-0.08273431935542704,-0.0005925530737841367,,,,,,,,,,,,0.013055109064513681,0.0,0,100000.0,0.0,100000.0,0.0,0.0
2021-07-09,139.14585831818513,141.972633378387,139.04837716154248,141.44627380371094,99890800,0.013055109064513681,0.003735331053825286,,,,0.0,,,,,140.8321088982757,140.8699651438186,-0.03785624554291189,-0.024118112979667785,-0.013738132563244108,-9.712615325012207e-05,,,,,,,,,,,,-0.004203963765003982,0.0,0,100000.0,0.0,100000.0,0.0,0.0
2021-07-12,142.51847096001342,142.62569425576672,140.36426288116348,140.8516387939453,76299700,-0.004203963765003982,-0.0004843359075792364,,,,0.0,,,,,140.83511349760948,140.86860763642056,-0.03349413881107921,-0.025993318145950073,-0.007500820665129138,-5.325334285140193e-05,,,,,,,,,,,,0.007889303404571502,0.0,0,100000.0,0.0,100000.0,0.0,0.0
2021-07-13,140.39350901995925,143.7369156295679,140.00361422588887,141.96286010742188,100827100,0.007889303404571502,0.0074011464240677505,140.96082763671876,,,0.0,,,,,141.00861297604217,140.94966337501327,0.05894960102889968,-0.009004734310980124,0.0679543353398798,0.00047867685118334883,,,,,,,,,,,,0.024100576137738194,0.0,0,100000.0,0.0,100000.0,0.0,0.0
2021-07-14,144.36076918149035,145.79365573228569,143.95136027537654,145.38424682617188,127050800,0.024100576137738194,0.031680094454705765,141.85369873046875,,,0.0,,,,,141.68178741452368,141.27815103806205,0.40363637646163397,0.0735234878435427,0.3301128886180913,0.0022706234929439502,,,,,,,,,,,,-0.0044921746676235275,0.0,0,100000.0,0.0,100000.0,0.0,0.0
2021-07-15,145.47197634550716,146.21278242197317,143.37625087333885,144.7311553955078,106820300,-0.0044921746676235275,0.027045607269304828,142.87523498535157,,,0.0,,,,,142.15092095005969,141.5339291386136,0.6169918114460984,0.18221715256405385,0.43477465888204453,0.0030040156501889123,,,,,,,,,,,,-0.014076075731824012,0.0,0,100000.0,0.0,100000.0,0.0,0.0
2021-07-16,144.7116519617399,145.9788173432772,142.19679065127386,142.69390869140625,93251400,-0.014076075731824012,0.012588835521344821,143.12476196289063,,,0.0,,,,,142.23445752565146,141.61985354993155,0.6146039757199162,0.2686945171952263,0.3459094585246899,0.002424136105547624,,,,,,,,,,,,-0.026914466291714345,0.0,0,100000.0,0.0,100000.0,0.0,0.0
2021-07-19,140.12055849525734,140.43248618215895,138.09307315098926,138.85337829589844,121434600,-0.026914466291714345,-0.014664452559660646,142.72510986328126,,,0.0,,,,,141.71429149030484,141.41492945704022,0.29936203326462874,0.2748280204091068,0.024534012855521925,0.0001766900667447179,,,,,,19.077875332414283,19.077875332414283,19.077875332414287,0.19077875332414287,,,0.02597414585552915,0.0,0,100000.0,0.0,100000.0,0.0,0.0
2021-07-20,139.83790622702588,143.3860023478585,139.35053030452949,142.45997619628906,96350000,0.02597414585552915,0.010928796666192397,142.82453308105468,141.8926803588867,1.006567299407156,1.0,,,,,141.82901221430242,141.49234032661423,0.33667188768819756,0.28719679386492497,0.04947509382327259,0.0003472911816846856,,,,,,32.296949425201646,23.484233363343407,49.922381548918125,0.49922381548918127,,,-0.005131606809881117,0.0,0,100000.0,0.0,100000.0,0.0,0.0
2021-07-21,141.85565012536404,142.4405072449087,140.97837931958148,141.7289276123047,74993500,-0.005131606809881117,0.005741107568915327,142.09346923828124,141.973583984375,1.0008444123878355,1.0,,,,,141.81361458322584,141.50986531073943,0.3037492724864137,0.29050728958922273,0.013241982897190974,9.343175755892453e-05,,,,,,36.457343116605486,27.808603281097433,53.75482278762159,0.5375482278762159,,,0.00962851624729355,1.0,1,0.0,705.0080859522083,99920.03998001001,-0.0007996001998998858,-0.0007996001998998858
2021-07-22,142.25527975346566,144.45821346206498,142.1285572602189,143.09356689453125,77338200,0.00962851624729355,0.015424902163713616,141.76595153808594,142.32059326171876,0.9961028639143197,0.0,,,,,142.01053032342668,141.62717653916843,0.3833537842582473,0.30907658852302766,0.07427719573521963,0.0005190813034305392,,,,,,44.83310629814858,33.483437620114486,67.53244365421676,0.6753244365421677,,,0.011989298106801494,1.0,1,0.0,705.0080859522083,100882.12170838776,0.00962851624729355,0.008821217083877508
2021-07-23,143.8246641352954,144.96512221870486,143.21056560056124,144.8091583251953,71447400,0.011989298106801494,0.027599134020823923,142.18900146484376,142.6568817138672,0.9967202336114277,0.0,,,,,142.44108847754492,141.86287889368893,0.578209583855994,0.3629031875896209,0.21530639626637305,0.0014868285767950862,,,,,,57.459857477951616,41.47557757272686,89.4284172884011,0.8942841728840111,,,0.002894455582819866,1.0,1,0.0,705.0080859522083,102091.62753919623,0.011989298106801272,0.02091627539196228
2021-07-26,144.5264793905911,146.04709009069717,143.97086362595675,145.22830200195312,72434100,0.002894455582819866,0.030573474071191376,143.4639862060547,143.09454803466798,1.0025817697031716,1.0,,,59.525796890560834,0.5952579689056083,142.86989055822312,142.1121694943011,0.7577210639220198,0.4418667628561007,0.31585430106591905,0.002174881166666743,,,,,,67.59837564018751,50.183176928547084,102.42877306346838,1.0242877306346838,3.045406889244392,0.020969789127147177,-0.01490037175018033,1.0,1,0.0,705.0080859522083,102387.12722048623,0.002894455582820088,0.023871272204862404
